Name,Address,City State,ZIP,Number of Sites,Url,latitude,longitude
Grass Lake Marina & RV Park,"26250 W Heart O Lakes Blvd,","Antioch, IL",60002.0,123,https://www.mhvillage.com/parks/126558,42.4489337,-88.1436359
Lupas Resort and Marina,"25276 W Grass Lake Rd,","Antioch, IL",60002.0,32,https://www.mhvillage.com/parks/72915,42.428997,-88.1798216
Inland Harbor,"38816 Broadway Ave,","Antioch, IL",60002.0,Not found,https://www.mhvillage.com/parks/69993,42.4283048,-88.1428634
Dolphin Harbor,"26222 West Oak Avenue,","Antioch, IL",60002.0,Not found,https://www.mhvillage.com/parks/10786,42.4463382,-88.1478377
North Fox Recreational,"38788 North Broadway Avenue,","Antioch, IL",60002.0,Not found,https://www.mhvillage.com/parks/10789,42.4274411,-88.1426016
Island on the Chain,"38600 N. Lakeside Pl,","Antioch, IL",60002.0,Not found,https://www.mhvillage.com/parks/72940,42.421246,-88.1546469
Willoway Terrace,"2300 East Oakton Street,","Arlington Heights, IL",60005.0,339,https://www.mhvillage.com/parks/11670,42.0955268,-87.9568791
Oakbrook Estates,"911 Crookedstick Court,","Crystal Lake, IL",60014.0,400,https://www.mhvillage.com/parks/11041,42.2221426,-88.27730636
Royal Oaks Mobile Home Park,"7920 Ridgefield Road,","Crystal Lake, IL",60014.0,54,https://www.mhvillage.com/parks/11042,42.2550888,-88.35299
Rand Road Community,"1330 Rand Road,","Des Plaines, IL",60016.0,140,https://www.mhvillage.com/parks/10373,42.0313084,-87.861055
Buckhorn Estates,"2993 Curtis Street,","Des Plaines, IL",60018.0,143,https://www.mhvillage.com/parks/10367,42.1269315,-79.2263095
Blackhawk Estates,"400 West Touhy Avenue,","Des Plaines, IL",60018.0,496,https://www.mhvillage.com/parks/10374,42.0113571,-87.8278673
Oasis Mobile Home Park,"7500 Elmhurst Road,","Des Plaines, IL",60018.0,600,https://www.mhvillage.com/parks/10372,51.4333592,0.0433566
Town & Country,"815 East Oakton Street,","Des Plaines, IL",60018.0,309,https://www.mhvillage.com/parks/10375,42.0954359,-87.9739903
Chain O Lakes Mobile Homes,"24430 W Highway 120,","Grayslake, IL",60030.0,66,https://www.mhvillage.com/parks/47088,42.33585672,-88.11028781
Saddlebrook Farms,"1 Saddlebrook Drive,","Grayslake, IL",60030.0,1775,https://www.mhvillage.com/parks/75235,39.8701453,-76.5512994
Avon Mobile Home Park,"360 Ivanhoe Rd,","Grayslake, IL",60030.0,Not found,https://www.mhvillage.com/parks/57880,42.4724608,-92.3607183
Hi-Way Mh Park,"1200 N Division St,","Harvard, IL",60033.0,Not found,https://www.mhvillage.com/parks/57867,42.42853,-88.613649
Sunset View Mh Park,"347 S Division St,","Harvard, IL",60033.0,Not found,https://www.mhvillage.com/parks/57866,42.4130501,-88.6135615
Ravinia Lake Bluff,"213 North Skokie Highway,","Lake Bluff, IL",60044.0,63,https://www.mhvillage.com/parks/10801,42.2844043,-87.8706228
South Shore Village,"240 Whitney Road,","Lake Zurich, IL",60047.0,42,https://www.mhvillage.com/parks/10802,34.971929,-81.9412435
Harbor Lites,"1009 W. Bay Road, Office #24,","McHenry, IL",60051.0,50,https://www.mhvillage.com/parks/11047,42.364728,-88.21630219
Ports of Sullivan,"135 Stowaway,","Lakemoor, IL",60051.0,Not found,https://www.mhvillage.com/parks/129651,42.3434037,-88.1947089
Paul's Mobile Home Park,"26312 North State Route 83,","Mundelein, IL",60060.0,18,https://www.mhvillage.com/parks/10806,34.7437285,-77.3379131
Diamond Lake Mobile Home Park,"26265 N. Il Route 83,","Mundelein, IL",60060.0,63,https://www.mhvillage.com/parks/10805,36.7705662,2.9368257
Villas Of Timber Creek,"1 Timber Creek Drive,","Round Lake, IL",60073.0,247,https://www.mhvillage.com/parks/10813,35.130957,-89.792674
Fish Lake Beach RV,"32223 N Us Highway 12,","Volo, IL",60073.0,Not found,https://www.mhvillage.com/parks/72942,30.5841826,-84.6112625
Cambridge Courts,"775 W. Long Lake Drive,","Round Lake, IL",60073.0,329,https://www.mhvillage.com/parks/10809,44.0917901,-84.7717906
Harmony Village,"430 Barrington Road,","Wauconda, IL",60084.0,136,https://www.mhvillage.com/parks/10815,42.3620952,-82.9294529
Woodland Mobile Home Park,"410 Barrington Road,","Wauconda, IL",60084.0,100,https://www.mhvillage.com/parks/10816,42.2522419,-88.1376845
Maple Grove Estates,"3308 Kehm Blvd.,","Park City, IL",60085.0,613,https://www.mhvillage.com/parks/33821,42.3490193,-87.8838158
Farmington Estates,"3308 Kehm Boulevard,","Park City, IL",60085.0,225,https://www.mhvillage.com/parks/11674,42.3490193,-87.8838158
Genes Evergreen Estates,"735 Staben Street,","Park City, IL",60085.0,200,https://www.mhvillage.com/parks/10817,42.34478631,-87.88429
Midway Estates,"3308 Kehm Boulevard,","Park City, IL",60085.0,198,https://www.mhvillage.com/parks/10808,42.3490193,-87.8838158
Park City Manufactured Home Community,"3418 Kehm Boulevard,","Park City, IL",60085.0,641,https://www.mhvillage.com/parks/57237,42.3493519,-87.8855247
Lake View Manufactured Home Community,"38285 N Sheridan Rd,","Beach Park, IL",60087.0,188,https://www.mhvillage.com/parks/10820,42.4179157,-87.8217641
Kings Way Estates,"38455 North Sheridan Road,","Beach Park, IL",60087.0,361,https://www.mhvillage.com/parks/11356,42.4200659,-87.8258106
Pinecrest Mobile Home Park,"37021 N Sheridan Rd,","Beach Park, IL",60087.0,Not found,https://www.mhvillage.com/parks/10824,42.3995068,-87.8281729
Whippletree Village,"525 N. Mchenry Rd.,","Wheeling, IL",60090.0,407,https://www.mhvillage.com/parks/10420,-33.7267318,150.7103873
Fox Point,"573 South Milwaukee Avenue,","Wheeling, IL",60090.0,45,https://www.mhvillage.com/parks/10419,42.2772221,-87.95207
Sunset Village,"2450 Waukegan Road,","Northfield, IL",60093.0,329,https://www.mhvillage.com/parks/10408,42.1001114,-87.7986735
Hollyhock Hill Mobile Home Park,"1601 Sheridan Rd,","Winthrop Harbor, IL",60096.0,Not found,https://www.mhvillage.com/parks/106900,42.4771625,-87.8240461
Beach Mobile Home Park,"38703 North Sheridan Road,","Beach Park, IL",60099.0,208,https://www.mhvillage.com/parks/10829,42.4239121,-87.8258009
Avalon Mobile Home Park,"1639 Sheridan Road,","Zion, IL",60099.0,31,https://www.mhvillage.com/parks/10828,42.464826,-87.8244431
Shoreline Terrace,"38569 N Sheridan Rd,","Beach Park, IL",60099.0,Not found,https://www.mhvillage.com/parks/105849,42.4212049,-87.8258069
Spring Lake Mobile Home Estates,"100 First Street,","Bartlett, IL",60103.0,511,https://www.mhvillage.com/parks/10341,37.789207,-122.397587
Cortland,"300 South Somonauk Road,","Dekalb, IL",60115.0,81,https://www.mhvillage.com/parks/10437,41.914292,-88.688723
Southmoor Estates Manufactured Home Community,"1032 South 7th Street,","Dekalb, IL",60115.0,100,https://www.mhvillage.com/parks/10438,41.917241,-88.7480499
Old Oaks Estates,"850 Villa Street,","Elgin, IL",60120.0,264,https://www.mhvillage.com/parks/11676,34.013224,-117.3310903
Villa Garden Estates,"452 Lucille Avenue,","Elgin, IL",60120.0,141,https://www.mhvillage.com/parks/10687,40.6960681,-73.686222
