Name,Address,City State,ZIP,Number of Sites,Url,latitude,longitude
Inland Harbor,"38816 Broadway Ave,","Antioch, IL",60002,Not found,https://www.mhvillage.com/parks/69993,42.4283048,-88.1428634
Island on the Chain,"38600 N. Lakeside Pl,","Antioch, IL",60002,Not found,https://www.mhvillage.com/parks/72940,42.421246,-88.1546469
Oakbrook Estates,"911 Crookedstick Court,","Crystal Lake, IL",60014,400,https://www.mhvillage.com/parks/11041,42.2221426,-88.27730636
Chain O Lakes Mobile Homes,"24430 W Highway 120,","Grayslake, IL",60030,66,https://www.mhvillage.com/parks/47088,42.33585672,-88.11028781
Harbor Lites,"1009 W. Bay Road, Office #24,","McHenry, IL",60051,50,https://www.mhvillage.com/parks/11047,42.364728,-88.21630219
Genes Evergreen Estates,"735 Staben Street,","Park City, IL",60085,200,https://www.mhvillage.com/parks/10817,42.34478631,-87.88429
Pleasant Ridge,"27W370 Geneva Road,","West Chicago, IL",60185,148,https://www.mhvillage.com/parks/10476,41.88905914,-88.15506577
American Mobile Home Park,"14149 S Western Ave,","Blue Island, IL",60406,47,https://www.mhvillage.com/parks/10343,41.634281,-87.67752001
Colonial Estates,"14139 South Western Avenue,","Dixmoor, IL",60406,183,https://www.mhvillage.com/parks/10346,41.6359915,-87.67772964
Broadway Estates,"2800 Broadway Street,","Blue Island, IL",60406,Not found,https://www.mhvillage.com/parks/10345,41.65017108,-87.68968528
Specialville Estates,"14136 S. Wood Street,","Dixmoor, IL",60426,Not found,https://www.mhvillage.com/parks/129579,41.63223909,-87.66107987
Western Crossing,"14001 S. Western Avenue,","Dixmoor, IL",60426,Not found,https://www.mhvillage.com/parks/129298,41.63915479,-87.678687
Stateville Court Federal Employee Community,"St Rte 53,","Joliet, IL",60435,Not found,https://www.mhvillage.com/parks/11578,41.65563038,-88.07991631
Timber Ridge Park LLC,"21700 Timber Ridge Road,","Matteson, IL",60443,773,https://www.mhvillage.com/parks/10402,41.49673147,-87.77448326
Rustic Acres Mobile Home Park,"3510 S Dwight Rd,","Mazon, IL",60444,Not found,https://www.mhvillage.com/parks/107164,41.2333176,-88.43770038
Arrow Mobile Home Park,"11725 Sourth Ridgeland Avenue,","Worth, IL",60482,120,https://www.mhvillage.com/parks/10421,41.67791359,-87.77675636
Dearborn Mobile Home Park,"1700 Block E Dearborn Ave,","Aurora, IL",60505,Not found,https://www.mhvillage.com/parks/106938,41.76781035,-88.27257706
Century Estates,"1610 E Us Route 34,","Earlville, IL",60518,Not found,https://www.mhvillage.com/parks/107406,41.58644713,-88.85906854
Century Estates,"1610 Walter Payton Memorial Hwy,","Earlville, IL",60518,Not found,https://www.mhvillage.com/parks/107408,41.5865033,-88.85910073
Oak Grove Mobile Home Village,"1336 Douglas Avenue,","Montgomery, IL",60538,85,https://www.mhvillage.com/parks/10689,41.72966293,-88.31965864
Countryside Estates MHP,"E 2750th Road & Center Street,","Sandwich, IL",60548,63,https://www.mhvillage.com/parks/10441,41.61794211,-88.65011957
Wildwood Estates,"1 Birch Drive,","Sandwich, IL",60548,476,https://www.mhvillage.com/parks/83,41.62127512,-88.64956117
Skyview Estates,"93 N. 3530E Road,","Kankakee, IL",60901,28,https://www.mhvillage.com/parks/103599,41.12106819,-87.80616999
River Crest Mobile Home Park,"5800 River Road,","Chebanse, IL",60922,16,https://www.mhvillage.com/parks/10587,41.03848634,-87.84850327
